confidance threshold = 0.15,,,,,,,,,
dnevna,,,,,,,,,
frames, distance, angle, TP , FN , FP,recall,precision,F1,
132,4,30,0,132,115,0,0,0,0
132,3,30,1,131,111,0.007575758,0.008928571,0.008196721,2.090163934
132,2,30,104,28,9,0.787878788,0.920353982,0.848979592,216.4897959
132,1,30,132,0,0,1,1,1,255
135,4,45,0,135,25,0,0,0,0
135,3,45,41,94,86,0.303703704,0.322834646,0.312977099,79.80916031
135,2,45,135,0,4,1,0.971223022,0.98540146,251.2773723
135,1,45,135,0,0,1,1,1,255
112,4,60,0,112,46,0,0,0,0
112,3,60,71,41,114,0.633928571,0.383783784,0.478114478,121.9191919
112,2,60,112,0,102,1,0.523364486,0.687116564,175.2147239
112,1,60,112,0,2,1,0.98245614,0.991150442,252.7433628
107,4,75,0,107,69,0,0,0,0
107,3,75,76,31,109,0.710280374,0.410810811,0.520547945,132.739726
107,2,75,107,0,120,1,0.471365639,0.640718563,163.3832335
107,1,75,107,0,32,1,0.769784173,0.869918699,221.8292683
129,4,90,0,129,5,0,0,0,0
129,3,90,76,53,14,0.589147287,0.844444444,0.694063927,176.9863014
129,2,90,129,0,3,1,0.977272727,0.988505747,252.0689655
129,1,90,129,0,0,1,1,1,255
,,,,,,,,,
temna,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
127,4,30,0,127,13,0,0,0,0
127,3,30,0,127,0,0,0,0,0
127,2,30,0,127,5,0,0,0,0
127,1,30,0,127,0,0,0,0,0
142,4,45,0,142,0,0,0,0,0
142,3,45,0,142,16,0,0,0,0
142,2,45,7,135,44,0.049295775,0.137254902,0.07253886,18.49740933
142,1,45,109,33,45,0.767605634,0.707792208,0.736486486,187.8040541
164,4,60,0,164,152,0,0,0,0
164,3,60,0,164,100,0,0,0,0
164,2,60,28,136,175,0.170731707,0.137931034,0.152588556,38.91008174
164,1,60,164,0,0,1,1,1,255
157,4,75,0,157,117,0,0,0,0
157,3,75,0,157,0,0,0,0,0
157,2,75,38,119,0,0.242038217,1,0.38974359,99.38461538
157,1,75,157,0,1,1,0.993670886,0.996825397,254.1904762
142,4,90,0,142,0,0,0,0,0
142,3,90,0,142,0,0,0,0,0
142,2,90,65,77,0,0.457746479,1,0.628019324,160.1449275
142,1,90,142,0,0,1,1,1,255
,,,,,,,,,
umetna,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
90,4,30,0,90,0,0,0,0,0
90,3,30,0,90,5,0,0,0,0
90,2,30,55,35,34,0.611111111,0.617977528,0.61452514,156.7039106
90,1,30,90,0,0,1,1,1,255
122,4,45,0,122,13,0,0,0,0
122,3,45,29,93,4,0.237704918,0.878787879,0.374193548,95.41935484
122,2,45,122,0,5,1,0.960629921,0.979919679,249.8795181
122,1,45,122,0,0,1,1,1,255
101,4,60,0,101,11,0,0,0,0
101,3,60,53,48,23,0.524752475,0.697368421,0.598870056,152.7118644
101,2,60,101,0,18,1,0.848739496,0.918181818,234.1363636
101,1,60,101,0,0,1,1,1,255
97,4,75,0,97,34,0,0,0,0
97,3,75,70,27,51,0.721649485,0.578512397,0.642201835,163.7614679
97,2,75,97,0,24,1,0.801652893,0.889908257,226.9266055
97,1,75,97,0,7,1,0.932692308,0.965174129,246.119403
113,4,90,0,113,20,0,0,0,0
113,3,90,62,51,16,0.548672566,0.794871795,0.64921466,165.5497382
113,2,90,113,0,0,1,1,1,255
113,1,90,113,0,0,1,1,1,255
,,,,,,,,,
umetna tresljaj,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
94,4,90,0,94,8,0,0,0,0
94,3,90,38,56,14,0.404255319,0.730769231,0.520547945,132.739726
94,2,90,94,0,2,1,0.979166667,0.989473684,252.3157895
94,1,90,94,0,2,1,0.979166667,0.989473684,252.3157895
