confidance threshold = 0.3
dnevna
frames, distance, angle, TP , FN , FP
129 , 4 , 90 , 0 , 129 , 1
129 , 3 , 90 , 69 , 60 , 0
129 , 2 , 90 , 129 , 0 , 0
129 , 1 , 90 , 129 , 0 , 0
107 , 4 , 75 , 0 , 107 , 26
107 , 3 , 75 , 28 , 79 , 82
107 , 2 , 75 , 107 , 0 , 92
107 , 1 , 75 , 107 , 0 , 14
112 , 4 , 60 , 0 , 112 , 14
112 , 3 , 60 , 40 , 72 , 69
112 , 2 , 60 , 112 , 0 , 45
112 , 1 , 60 , 112 , 0 , 0
135 , 4 , 45 , 0 , 135 , 0
135 , 3 , 45 , 16 , 119 , 4
135 , 2 , 45 , 133 , 2 , 0
135 , 1 , 45 , 135 , 0 , 0
132 , 4 , 30 , 0 , 132 , 24
132 , 3 , 30 , 0 , 132 , 10
132 , 2 , 30 , 52 , 80 , 0
132 , 1 , 30 , 130 , 2 , 0

temna
frames, distance, angle, TP , FN , FP
127 , 4 , 30 , 0 , 127 , 0
127 , 3 , 30 , 0 , 127 , 0
127 , 2 , 30 , 0 , 127 , 0
127 , 1 , 30 , 0 , 127 , 0
142 , 4 , 45 , 0 , 142 , 0
142 , 3 , 45 , 0 , 142 , 0
142 , 2 , 45 , 0 , 142 , 1
142 , 1 , 45 , 88 , 54 , 6
164 , 4 , 60 , 0 , 164 , 0
164 , 3 , 60 , 0 , 164 , 0
164 , 2 , 60 , 4 , 160 , 13
164 , 1 , 60 , 147 , 17 , 0
157 , 4 , 75 , 0 , 157 , 2
157 , 3 , 75 , 0 , 157 , 0
157 , 2 , 75 , 26 , 131 , 0
157 , 1 , 75 , 137 , 20 , 0
142 , 4 , 90 , 0 , 142 , 0
142 , 3 , 90 , 0 , 142 , 0
142 , 2 , 90 , 49 , 93 , 0
142 , 1 , 90 , 141 , 1 , 0


umetna
frames, distance, angle, TP , FN , FP
113 , 4 , 90 , 0 , 113 , 1
113 , 3 , 90 , 10 , 103 , 1
113 , 2 , 90 , 113 , 0 , 0
113 , 1 , 90 , 113 , 0 , 0
97 , 4 , 75 , 0 , 97 , 0
97 , 3 , 75 , 45 , 52 , 21
97 , 2 , 75 , 97 , 0 , 8
97 , 1 , 75 , 97 , 0 , 0
101 , 4 , 60 , 0 , 101 , 0
101 , 3 , 60 , 40 , 61 , 1
101 , 2 , 60 , 101 , 0 , 0
101 , 1 , 60 , 101 , 0 , 0
122 , 4 , 45 , 0 , 122 , 0
122 , 3 , 45 , 5 , 117 , 3
122 , 2 , 45 , 122 , 0 , 0
122 , 1 , 45 , 122 , 0 , 0
90 , 4 , 30 , 0 , 90 , 0
90 , 3 , 30 , 0 , 90 , 0
90 , 2 , 30 , 24 , 66 , 8
90 , 1 , 30 , 89 , 1 , 0

umetna tresljaj
frames, distance, angle, TP , FN , FP
94 , 4 , 90 , 0 , 94 , 0
94 , 3 , 90 , 2 , 92 , 0
94 , 2 , 90 , 91 , 3 , 1
94 , 1 , 90 , 94 , 0 , 0


